Date,Bank,Description,Valor,Debit,Credit,Categoria,Confianca,Observacao
2025-12-01,Revolut,Abacus.AI,8.64,8.64,0.0,,0.0,
2025-12-02,Revolut,Revolut Bank UAB Sucursal em Portugal,173.0,0.0,173.0,,0.0,
2025-12-02,Revolut,Revolut Bank UAB Sucursal em Portugal,70.06,0.0,70.06,,0.0,
2025-12-02,Revolut,Carregamento de TIJS BERENS,387.83,0.0,387.83,,0.0,
2025-12-02,Revolut,To Bilal Machraa,600.0,600.0,0.0,,0.0,
2025-12-02,Revolut,Bagga,1.8,1.8,0.0,,0.0,
2025-12-03,Revolut,Transferência de ANA RITA DE JESUS VEIGA,453.78,0.0,453.78,,0.0,
2025-12-03,Revolut,To Bilal Machraa,500.0,500.0,0.0,,0.0,
2025-12-03,Revolut,Carregamento de NIUM * INTERNATIONAL PAYOUT SYSTEMS INC RE LIFEWAVE INC,47.04,0.0,47.04,,0.0,
2025-12-03,Revolut,Stripe,5.18,5.18,0.0,,0.0,
2025-12-02,Revolut,Google One,2.99,2.99,0.0,,0.0,
2025-12-03,Revolut,Grocery Store,25.3,25.3,0.0,,0.0,
2025-12-03,Revolut,Render,6.03,6.03,0.0,,0.0,
2025-12-05,Revolut,Apify,8.49,8.49,0.0,,0.0,
2025-12-05,Revolut,Abacus.AI,17.26,17.26,0.0,,0.0,
2025-12-05,Revolut,Apify,6.39,0.0,6.39,,0.0,
2025-12-09,Revolut,Bolt,3.9,3.9,0.0,,0.0,
2025-12-09,Revolut,Railway,5.61,5.61,0.0,,0.0,
2025-12-10,Revolut,Carregamento de NIUM * INTERNATIONAL PAYOUT SYSTEMS INC RE LIFEWAVE INC,208.24,0.0,208.24,,0.0,
2025-12-10,Revolut,Pingo Doce,14.81,14.81,0.0,,0.0,
2025-12-10,Revolut,Lovable,21.47,21.47,0.0,,0.0,
2025-12-11,Revolut,TaskRabbit,36.17,36.17,0.0,,0.0,
2025-12-11,Revolut,Google,10.99,10.99,0.0,,0.0,
2025-12-11,Revolut,ProtonMail,9.99,9.99,0.0,,0.0,
2025-12-12,Revolut,Google One,2.22,0.0,2.22,,0.0,
2025-12-12,Revolut,ALDI,61.17,61.17,0.0,,0.0,
2025-12-13,Revolut,Ma Quintas Caparica,26.94,26.94,0.0,,0.0,
2025-12-14,Revolut,Creem.io,5.27,5.27,0.0,,0.0,
2025-12-14,Revolut,Temu,23.77,23.77,0.0,,0.0,
2025-12-14,Revolut,A Padaria Portuguesa,7.99,7.99,0.0,,0.0,
2025-12-14,Revolut,Ma Quintas Caparica,9.75,9.75,0.0,,0.0,
2025-12-14,Revolut,Ma Quintas Caparica,1.16,1.16,0.0,,0.0,
2025-12-14,Revolut,Monte de Caparica,11.04,11.04,0.0,,0.0,
2025-12-14,Revolut,Metro Transportes do Sul,0.85,0.85,0.0,,0.0,
2025-12-15,Revolut,Factory,0.58,0.58,0.0,,0.0,
2025-12-17,Revolut,Carregamento de NIUM * INTERNATIONAL PAYOUT SYSTEMS INC RE LIFEWAVE INC,132.77,0.0,132.77,,0.0,
2025-12-17,Revolut,YouTube,17.99,17.99,0.0,,0.0,
2025-12-18,Revolut,A Padaria Portuguesa,6.6,6.6,0.0,,0.0,
2025-12-19,Revolut,Lovable,21.45,21.45,0.0,,0.0,
2025-12-22,Revolut,Coze,8.56,8.56,0.0,,0.0,
2025-12-22,Revolut,Loom,0.86,0.86,0.0,,0.0,
2025-12-23,Revolut,Transferência para GUILHERME PINTO RODRIGUES,50.0,50.0,0.0,,0.0,
2025-12-23,Revolut,Mercearia Cc Fontanela,13.25,13.25,0.0,,0.0,
2025-12-24,Revolut,Carregamento de NIUM * INTERNATIONAL PAYOUT SYSTEMS INC RE LIFEWAVE INC,29.89,0.0,29.89,,0.0,
2025-12-23,Revolut,Eggcellent,11.4,11.4,0.0,,0.0,
2025-12-26,Revolut,Manus AI,43.46,43.46,0.0,,0.0,
2025-12-31,Revolut,Carregamento de NIUM * INTERNATIONAL PAYOUT SYSTEMS INC RE LIFEWAVE INC,81.0,0.0,81.0,,0.0,
